221479.072692	[(-19.0748, -8.536), (20.93010982, -7.322596955), (-16.80286051, -9.242375938)]
276000.287469	[(-19.0748, -8.536), (22.77209724, -11.00912555), (-16.50121714, -7.536003035)]
240323.301364	[(-19.0748, -8.536), (-20.22202926, -5.526105176), (21.55643414, -8.894876165)]
296266.146501	[(-19.0748, -8.536), (-17.58725494, -8.744532565), (26.47908199, -10.10558625)]
239391.386607	[(-19.0748, -8.536), (22.24432794, -8.562356865), (-17.63506716, -6.503314782)]
253207.847597	[(-19.0748, -8.536), (23.84763233, -8.82214252), (-17.21964035, -9.336242609)]
1349292.62985	[(-19.0748, -8.536), (-21.63151861, -7.727679769), (-17.63506716, -6.503314782)]
279926.463364	[(-19.0748, -8.536), (20.98059136, -11.7393288), (-19.7031783, -11.3579162)]
1460541.54044	[(-19.0748, -8.536), (-22.78826641, -8.819082477), (-21.23043625, -8.27579766)]
286911.838714	[(-19.0748, -8.536), (25.03857183, -10.57242172), (-17.55953177, -6.718903118)]
273664.678359	[(-19.0748, -8.536), (-21.21053685, -7.47531872), (21.29823102, -11.29301951)]
