268675.771807	[(-19.0748, -8.536), (17.69664852, -11.09156605), (-20.82806376, -6.69717012)]
264550.326108	[(-19.0748, -8.536), (21.1856984, -10.72501219), (-19.65417726, -8.211477352)]
1435825.16289	[(-19.0748, -8.536), (-18.91841383, -7.185415379), (-19.65417726, -8.211477352)]
253203.324143	[(-19.0748, -8.536), (23.84763233, -8.82214252), (-17.37534526, -9.134230943)]
267827.19593	[(-19.0748, -8.536), (-21.19373865, -13.20813852), (26.48638347, -7.798021124)]
279985.753142	[(-19.0748, -8.536), (20.98059136, -11.7393288), (-15.35133402, -6.943039921)]
276264.547269	[(-19.0748, -8.536), (-19.88994284, -8.550733987), (22.77209724, -11.00912555)]
276639.891753	[(-19.0748, -8.536), (20.71204687, -11.58808224), (-16.38603445, -7.205324413)]
271506.564288	[(-19.0748, -8.536), (22.0108, -10.9737), (-21.55599843, -8.968839013)]
252027.428243	[(-19.0748, -8.536), (21.21060698, -9.901650142), (-16.7464568, -4.865147852)]
296320.355857	[(-19.0748, -8.536), (26.47908199, -10.10558625), (-19.88994284, -8.550733987)]
252387.257347	[(-19.0748, -8.536), (21.21060698, -9.901650142), (-19.28529157, -13.21985521)]
232652.568114	[(-19.0748, -8.536), (22.71382947, -7.709164073), (-16.73449977, -6.379830594)]
226372.104691	[(-19.0748, -8.536), (22.79469945, -6.976994888), (-22.22948053, -12.69644013)]
276924.180272	[(-19.0748, -8.536), (20.71204687, -11.58808224), (-20.00417586, -8.269751735)]
1329499.70634	[(-19.0748, -8.536), (-21.79875609, -8.32260884), (-16.8768945, -9.048859779)]
1276966.4527	[(-19.0748, -8.536), (-17.34306487, -7.516827343), (-16.64916083, -4.672177852)]
276132.087717	[(-19.0748, -8.536), (22.77209724, -11.00912555), (-19.5530913, -9.584532025)]
267962.380268	[(-19.0748, -8.536), (26.48638347, -7.798021124), (-19.0162303, -9.627969052)]
239701.515079	[(-19.0748, -8.536), (-18.35149093, -7.805921311), (22.24432794, -8.562356865)]
